rank	gene_id	symbol	mean_tpm	var_log2tpm
257	ENSG00000008517	IL32	2.436	1.6864
258	ENSG00000109670	FBXW7	16.323	1.6844
259	ENSG00000163935	SFMBT1	10.468	1.6833
260	ENSG00000116717	GADD45A	43.332	1.6764
261	ENSG00000158164	TMSB15A	4.04	1.676
262	ENSG00000145642	SHISAL2B	3.497	1.6735
263	ENSG00000183735	TBK1	10.293	1.6713
264	ENSG00000274274	GAGE13	2.269	1.6701
265	ENSG00000260325	HSPB9	4.368	1.6698
266	ENSG00000221821	C6orf226	8.523	1.6597
267	ENSG00000145331	TRMT10A	11.902	1.6585
268	ENSG00000104774	MAN2B1	92.836	1.6568
269	ENSG00000126709	IFI6	8.751	1.6502
270	ENSG00000233822	H2BC15	32.908	1.6461
271	ENSG00000239282	CASTOR1	6.221	1.6429
272	ENSG00000055955	ITIH4	8.932	1.6428
273	ENSG00000164815	ORC5	12.788	1.6338
274	ENSG00000268750	ENSG00000268750	3.355	1.633
275	ENSG00000140682	TGFB1I1	3.737	1.6303
276	ENSG00000110628	SLC22A18	3.563	1.63
277	ENSG00000179304	FAM156B	2.16	1.6298
278	ENSG00000186073	CDIN1	8.752	1.6282
279	ENSG00000198824	CHAMP1	9.002	1.6279
280	ENSG00000198556	ZNF789	5.444	1.6273
281	ENSG00000112851	ERBIN	14.335	1.6191
282	ENSG00000259066	ENSG00000259066	1.739	1.6172
283	ENSG00000259112	NDUFC2-KCTD14	254.44	1.6169
284	ENSG00000108256	NUFIP2	10.225	1.6136
285	ENSG00000272822	ENSG00000272822	2.153	1.6134
286	ENSG00000164056	SPRY1	10.615	1.6128
287	ENSG00000269242	ENSG00000269242	23.793	1.6123
288	ENSG00000154040	CABYR	4.515	1.6098
289	ENSG00000100604	CHGA	11.064	1.6067
290	ENSG00000164362	TERT	6.984	1.6016
291	ENSG00000163157	TMOD4	2.59	1.6013
292	ENSG00000116132	PRRX1	4.406	1.6013
293	ENSG00000173706	HEG1	5.316	1.5976
294	ENSG00000160678	S100A1	1.968	1.5972
295	ENSG00000250151	ARPC4-TTLL3	2.333	1.5917
296	ENSG00000198538	ZNF28	3.297	1.5899
297	ENSG00000138675	FGF5	1.929	1.5888
298	ENSG00000166435	XRRA1	17.826	1.5867
299	ENSG00000159885	ZNF222	4.17	1.5863
300	ENSG00000141086	CTRL	2.78	1.585
301	ENSG00000114786	ABHD14A-ACY1	3.529	1.5833
302	ENSG00000248592	STIMATE-MUSTN1	2.538	1.5811
303	ENSG00000213471	TTLL13	2.03	1.5803
304	ENSG00000234284	ZNF879	4.716	1.5797
305	ENSG00000148832	PAOX	3.728	1.574
306	ENSG00000278637	H4C1	10.048	1.5717
307	ENSG00000152133	GPATCH11	31.796	1.5709
308	ENSG00000125695	ENSG00000125695	1.733	1.5703
309	ENSG00000170345	FOS	3.273	1.5667
310	ENSG00000130643	CALY	2.053	1.5641
311	ENSG00000163864	NMNAT3	3.404	1.5621
312	ENSG00000131400	NAPSA	3.213	1.56
313	ENSG00000163625	WDFY3	7.851	1.5566
314	ENSG00000111554	MDM1	12.589	1.5546
315	ENSG00000249884	RNF103-CHMP3	1.926	1.5535
316	ENSG00000214013	GANC	4.152	1.5497
317	ENSG00000197329	PELI1	4.61	1.5485
318	ENSG00000204428	LY6G5C	2.892	1.5456
319	ENSG00000080839	RBL1	9.641	1.5451
320	ENSG00000258472	ENSG00000258472	2.787	1.5444
321	ENSG00000178177	LCORL	9.681	1.5439
322	ENSG00000229637	PRAC2	1.758	1.5437
323	ENSG00000196787	H2AC11	78.991	1.5437
324	ENSG00000183598	H3C13	18.036	1.5424
325	ENSG00000100097	LGALS1	4.766	1.5412
326	ENSG00000089199	CHGB	5.196	1.5407
327	ENSG00000070018	LRP6	4.74	1.5395
328	ENSG00000138678	GPAT3	4.502	1.5387
329	ENSG00000172264	MACROD2	7.11	1.5379
330	ENSG00000255073	ZFP91-CNTF	10.417	1.5375
331	ENSG00000215788	TNFRSF25	5.573	1.5362
332	ENSG00000184260	H2AC20	105.268	1.535
333	ENSG00000077238	IL4R	13.962	1.5313
334	ENSG00000146776	ATXN7L1	13.749	1.5311
335	ENSG00000196550	FAM72A	34.944	1.5311
336	ENSG00000180008	SOCS4	3.925	1.5287
337	ENSG00000196369	SRGAP2B	10.064	1.5286
338	ENSG00000254732	ENSG00000254732	2.467	1.5273
339	ENSG00000213625	LEPROT	5.883	1.5256
340	ENSG00000047644	WWC3	1.84	1.5255
341	ENSG00000109971	HSPA8	283.129	1.5253
342	ENSG00000260691	ANKRD20A1	2.408	1.5248
343	ENSG00000197045	GMFB	6.915	1.5234
344	ENSG00000100027	YPEL1	11.055	1.5232
345	ENSG00000115970	THADA	19.99	1.523
346	ENSG00000275066	SYNRG	28.586	1.5229
347	ENSG00000101493	ZNF516	13.259	1.5221
348	ENSG00000005187	ACSM3	1.627	1.5221
349	ENSG00000169926	KLF13	12.34	1.5208
350	ENSG00000151743	AMN1	2.52	1.5187
351	ENSG00000266714	MYO15B	8.064	1.5179
352	ENSG00000167315	ACAA2	12.679	1.5175
353	ENSG00000122674	CCZ1	21.171	1.5167
354	ENSG00000197496	SLC2A10	6.356	1.5165
355	ENSG00000234511	C5orf58	1.707	1.5095
356	ENSG00000196867	ZFP28	2.507	1.5082
357	ENSG00000160408	ST6GALNAC6	28.051	1.507
358	ENSG00000231887	PRH1	1.711	1.5062
359	ENSG00000107099	DOCK8	5.556	1.5057
360	ENSG00000198131	ZNF544	2.589	1.504
361	ENSG00000078142	PIK3C3	5.466	1.5021
362	ENSG00000162148	SAXO4	3.743	1.4993
363	ENSG00000215126	ZNG1F	2.433	1.4989
364	ENSG00000112200	ZNF451	8.82	1.4973
365	ENSG00000122986	HVCN1	2.928	1.4965
366	ENSG00000155438	NIFK	67.96	1.4955
367	ENSG00000163815	CLEC3B	2.711	1.493
368	ENSG00000186417	GLDN	2.366	1.491
369	ENSG00000178386	ZNF223	2.759	1.4881
370	ENSG00000185864	NPIPB4	3.419	1.4865
371	ENSG00000135951	TSGA10	11.179	1.4853
372	ENSG00000068831	RASGRP2	5.237	1.4843
373	ENSG00000185499	MUC1	2.086	1.4842
374	ENSG00000134852	CLOCK	2.604	1.4835
375	ENSG00000115271	GCA	5.869	1.483
376	ENSG00000213213	CCDC183	3.113	1.4829
377	ENSG00000149646	CNBD2	5.306	1.4826
378	ENSG00000171044	XKR6	3.92	1.4811
379	ENSG00000070950	RAD18	5.539	1.4811
380	ENSG00000148057	IDNK	3.0	1.4799
381	ENSG00000163491	NEK10	1.971	1.4794
382	ENSG00000169410	PTPN9	6.089	1.4768
383	ENSG00000163611	SPICE1	3.086	1.4768
384	ENSG00000256646	ENSG00000256646	3.672	1.4766
385	ENSG00000005243	COPZ2	2.094	1.4739
386	ENSG00000224389	C4B	2.5	1.47
387	ENSG00000274641	H2BC17	66.553	1.4673
388	ENSG00000163467	TSACC	2.171	1.4669
389	ENSG00000148444	COMMD3	7.974	1.4667
390	ENSG00000197183	NOL4L	8.392	1.4642
391	ENSG00000164329	TENT2	6.396	1.461
392	ENSG00000198908	GPRASP3	3.651	1.4606
393	ENSG00000286075	SMIM10L3	4.41	1.459
394	ENSG00000178397	FAM220A	2.017	1.4574
395	ENSG00000258644	SYNJ2BP-COX16	1.841	1.4565
396	ENSG00000172167	MTBP	7.742	1.454
397	ENSG00000173166	RAPH1	10.807	1.4517
398	ENSG00000205609	EIF3CL	9.213	1.4488
399	ENSG00000119041	GTF3C3	32.23	1.4473
400	ENSG00000203546	ENSG00000203546	1.515	1.4454
401	ENSG00000269403	ENSG00000269403	1.448	1.4447
402	ENSG00000132356	PRKAA1	7.911	1.4427
403	ENSG00000197191	CYSRT1	5.738	1.4424
404	ENSG00000269755	ENSG00000269755	1.923	1.4419
405	ENSG00000234289	H2BC12L	1.542	1.4412
406	ENSG00000140807	NKD1	9.427	1.4388
407	ENSG00000058404	CAMK2B	9.951	1.4381
408	ENSG00000161551	ZNF577	5.771	1.4373
409	ENSG00000158887	MPZ	2.298	1.4372
410	ENSG00000052802	MSMO1	8.651	1.4364
411	ENSG00000198440	ZNF583	3.085	1.4312
412	ENSG00000219626	FAM228B	4.953	1.4296
413	ENSG00000176020	AMIGO3	3.007	1.4274
414	ENSG00000125772	GPCPD1	2.592	1.4264
415	ENSG00000139194	RBP5	1.949	1.4239
416	ENSG00000274997	H2AC12	151.617	1.4229
417	ENSG00000152443	ZNF776	3.482	1.4201
418	ENSG00000109775	UFSP2	5.878	1.4192
419	ENSG00000106733	NMRK1	4.656	1.4185
420	ENSG00000134317	GRHL1	4.115	1.4173
421	ENSG00000108582	CPD	4.59	1.4144
422	ENSG00000011566	MAP4K3	6.569	1.4113
423	ENSG00000197020	ZNF100	3.481	1.4093
424	ENSG00000108176	DNAJC12	5.399	1.4083
425	ENSG00000042493	CAPG	24.465	1.4062
426	ENSG00000189283	FHIT	2.819	1.4047
427	ENSG00000118292	C1orf54	1.657	1.4025
428	ENSG00000102780	DGKH	3.169	1.3988
429	ENSG00000214756	CSKMT	9.693	1.3985
430	ENSG00000178904	DPY19L3	7.69	1.3978
431	ENSG00000274808	TBC1D3B	13.444	1.3967
432	ENSG00000184702	SEPTIN5	8.861	1.394
433	ENSG00000173041	ZNF680	3.626	1.3936
434	ENSG00000198040	ZNF84	3.89	1.3909
435	ENSG00000223865	HLA-DPB1	3.668	1.3894
436	ENSG00000165259	HDX	1.836	1.3883
437	ENSG00000182185	RAD51B	3.036	1.3881
438	ENSG00000091073	DTX2	49.017	1.3876
439	ENSG00000176049	JAKMIP2	9.369	1.3866
440	ENSG00000152359	POC5	9.037	1.383
441	ENSG00000130997	POLN	9.596	1.3824
442	ENSG00000141505	ASGR1	2.396	1.3793
443	ENSG00000163793	DNAJC5G	1.353	1.3776
444	ENSG00000143995	MEIS1	15.009	1.3771
445	ENSG00000138399	FASTKD1	5.008	1.3755
446	ENSG00000121310	ECHDC2	1.836	1.374
447	ENSG00000164031	DNAJB14	14.507	1.3733
448	ENSG00000172845	SP3	9.987	1.368
449	ENSG00000183785	TUBA8	4.651	1.3675
450	ENSG00000177106	EPS8L2	6.492	1.3654
451	ENSG00000135406	PRPH	3.418	1.365
452	ENSG00000249709	ZNF564	4.336	1.361
453	ENSG00000158525	CPA5	1.428	1.3581
454	ENSG00000180834	MAP6D1	1.996	1.3572
455	ENSG00000104953	TLE6	3.06	1.3569
456	ENSG00000125787	GNRH2	1.419	1.3562
457	ENSG00000213316	LTC4S	1.639	1.3562
458	ENSG00000128886	ELL3	6.732	1.3558
459	ENSG00000196705	ZNF431	10.433	1.352
460	ENSG00000165490	DDIAS	4.608	1.3499
461	ENSG00000148541	FAM13C	4.341	1.3493
462	ENSG00000143476	DTL	8.647	1.349
463	ENSG00000132881	CPLANE2	8.981	1.345
