gene_id	symbol	min_over_methods_mean_log2cpm	rank
ENSG00000131473	ACLY	7.8842	227
ENSG00000143569	UBAP2L	7.8814	228
ENSG00000116161	CACYBP	7.8807	229
ENSG00000113648	MACROH2A1	7.8683	230
ENSG00000065526	SPEN	7.8646	231
ENSG00000265241	RBM8A	7.8499	232
ENSG00000088986	DYNLL1	7.8403	233
ENSG00000104738	MCM4	7.8387	234
ENSG00000135390	ATP5MC2	7.8369	235
ENSG00000171490	RSL1D1	7.8336	236
ENSG00000100216	TOMM22	7.8297	237
ENSG00000090621	PABPC4	7.82	238
ENSG00000116649	SRM	7.8176	239
ENSG00000130741	EIF2S3	7.817	240
ENSG00000005022	SLC25A5	7.8169	241
ENSG00000101444	AHCY	7.815	242
ENSG00000033050	ABCF2	7.8059	243
ENSG00000179115	FARSA	7.7989	244
ENSG00000206503	HLA-A	7.7946	245
ENSG00000204525	HLA-C	7.7927	246
ENSG00000141522	ARHGDIA	7.7926	247
ENSG00000029993	HMGB3	7.7893	248
ENSG00000164032	H2AZ1	7.7891	249
ENSG00000125991	ERGIC3	7.7776	250
ENSG00000086758	HUWE1	7.7755	251
ENSG00000160818	GPATCH4	7.7737	252
ENSG00000136450	SRSF1	7.7726	253
ENSG00000124562	SNRPC	7.7674	254
ENSG00000106105	GARS1	7.7568	255
ENSG00000089053	ANAPC5	7.7517	256
ENSG00000031698	SARS1	7.7513	257
ENSG00000131462	TUBG1	7.7502	258
ENSG00000187109	NAP1L1	7.7491	259
ENSG00000102898	NUTF2	7.7442	260
ENSG00000168066	SF1	7.7427	261
ENSG00000100243	CYB5R3	7.7417	262
ENSG00000117399	CDC20	7.7374	263
ENSG00000143870	PDIA6	7.7282	264
ENSG00000163479	SSR2	7.7264	265
ENSG00000090861	AARS1	7.7261	266
ENSG00000103549	RNF40	7.7239	267
ENSG00000183741	CBX6	7.7191	268
ENSG00000141698	NT5C3B	7.7177	269
ENSG00000197102	DYNC1H1	7.7147	270
ENSG00000177479	ARIH2	7.7123	271
ENSG00000105197	TIMM50	7.7116	272
ENSG00000165732	DDX21	7.7101	273
ENSG00000133026	MYH10	7.7094	274
ENSG00000204574	ABCF1	7.7088	275
ENSG00000116754	SRSF11	7.7051	276
ENSG00000108654	DDX5	7.7023	277
ENSG00000183207	RUVBL2	7.6957	278
ENSG00000071655	MBD3	7.6939	279
ENSG00000117724	CENPF	7.6936	280
ENSG00000140990	NDUFB10	7.6929	281
ENSG00000147649	MTDH	7.6924	282
ENSG00000147677	EIF3H	7.6921	283
ENSG00000165916	PSMC3	7.691	284
ENSG00000189241	TSPYL1	7.69	285
ENSG00000102054	RBBP7	7.6887	286
ENSG00000169718	DUS1L	7.6856	287
ENSG00000189306	RRP7A	7.685	288
ENSG00000123131	PRDX4	7.6842	289
ENSG00000175166	PSMD2	7.681	290
ENSG00000182551	ADI1	7.6803	291
ENSG00000160752	FDPS	7.678	292
ENSG00000143612	C1orf43	7.6719	293
ENSG00000168003	SLC3A2	7.6717	294
ENSG00000172531	PPP1CA	7.6688	295
ENSG00000168653	NDUFS5	7.6674	296
ENSG00000163902	RPN1	7.6644	297
ENSG00000115541	HSPE1	7.661	298
ENSG00000133226	SRRM1	7.6601	299
ENSG00000102030	NAA10	7.6557	300
ENSG00000100138	SNU13	7.6556	301
ENSG00000185651	UBE2L3	7.6534	302
ENSG00000140319	SRP14	7.6508	303
ENSG00000178741	COX5A	7.6471	304
ENSG00000178982	EIF3K	7.6464	305
ENSG00000151465	CDC123	7.6444	306
ENSG00000166136	NDUFB8	7.644	307
ENSG00000204843	DCTN1	7.6411	308
ENSG00000179222	MAGED1	7.6385	309
ENSG00000132382	MYBBP1A	7.6363	310
ENSG00000047849	MAP4	7.6307	311
ENSG00000130826	DKC1	7.6305	312
ENSG00000159140	SON	7.6283	313
ENSG00000117395	EBNA1BP2	7.6273	314
ENSG00000013306	SLC25A39	7.6205	315
ENSG00000135446	CDK4	7.6093	316
ENSG00000004478	FKBP4	7.6092	317
ENSG00000172270	BSG	7.6083	318
ENSG00000125166	GOT2	7.6069	319
ENSG00000292348	CD99	7.6035	320
ENSG00000136238	RAC1	7.602	321
ENSG00000108829	LRRC59	7.5992	322
ENSG00000065427	KARS1	7.5967	323
ENSG00000110104	CCDC86	7.5961	324
ENSG00000164104	HMGB2	7.5949	325
ENSG00000100811	YY1	7.5905	326
ENSG00000112081	SRSF3	7.5888	327
ENSG00000054118	THRAP3	7.5885	328
ENSG00000206053	JPT2	7.5868	329
ENSG00000165655	ZNF503	7.5811	330
ENSG00000140264	SERF2	7.5807	331
ENSG00000168259	DNAJC7	7.5806	332
ENSG00000110696	C11orf58	7.5773	333
ENSG00000087191	PSMC5	7.5741	334
ENSG00000239900	ADSL	7.5718	335
ENSG00000006744	ELAC2	7.5655	336
ENSG00000185787	MORF4L1	7.5626	337
ENSG00000143543	JTB	7.5623	338
ENSG00000167522	ANKRD11	7.5611	339
ENSG00000142230	SAE1	7.5551	340
ENSG00000163041	H3-3A	7.553	341
ENSG00000172053	QARS1	7.5464	342
ENSG00000168090	COPS6	7.545	343
ENSG00000173113	TRMT112	7.5355	344
ENSG00000106628	POLD2	7.533	345
ENSG00000144028	SNRNP200	7.5297	346
ENSG00000232112	TMA7	7.5281	347
ENSG00000134333	LDHA	7.5274	348
ENSG00000100201	DDX17	7.527	349
ENSG00000084754	HADHA	7.5258	350
ENSG00000126067	PSMB2	7.525	351
ENSG00000122705	CLTA	7.522	352
ENSG00000101856	PGRMC1	7.5212	353
ENSG00000100413	POLR3H	7.521	354
ENSG00000177156	TALDO1	7.5192	355
ENSG00000143575	HAX1	7.5143	356
ENSG00000146731	CCT6A	7.512	357
ENSG00000167670	CHAF1A	7.5076	358
ENSG00000126247	CAPNS1	7.5013	359
ENSG00000135404	CD63	7.4935	360
ENSG00000179958	DCTPP1	7.491	361
ENSG00000116478	HDAC1	7.4849	362
ENSG00000076108	BAZ2A	7.4818	363
ENSG00000198931	APRT	7.4775	364
ENSG00000137409	MTCH1	7.473	365
ENSG00000154380	ENAH	7.4726	366
ENSG00000198900	TOP1	7.4699	367
ENSG00000179262	RAD23A	7.4698	368
ENSG00000180879	SSR4	7.4666	369
ENSG00000111229	ARPC3	7.4652	370
ENSG00000163931	TKT	7.4611	371
ENSG00000159217	IGF2BP1	7.4589	372
ENSG00000104824	HNRNPL	7.4572	373
ENSG00000148248	SURF4	7.4518	374
ENSG00000109332	UBE2D3	7.4513	375
ENSG00000184787	UBE2G2	7.4501	376
ENSG00000157020	SEC13	7.45	377
ENSG00000108883	EFTUD2	7.4485	378
ENSG00000087269	NOP14	7.4481	379
ENSG00000103266	STUB1	7.4475	380
ENSG00000130706	ADRM1	7.4444	381
ENSG00000144021	CIAO1	7.4439	382
ENSG00000099622	CIRBP	7.4439	383
ENSG00000096746	HNRNPH3	7.4427	384
ENSG00000130821	SLC6A8	7.4404	385
ENSG00000008838	MED24	7.4398	386
ENSG00000126934	MAP2K2	7.438	387
ENSG00000004142	POLDIP2	7.4353	388
ENSG00000160201	U2AF1	7.4323	389
ENSG00000125818	PSMF1	7.43	390
ENSG00000136930	PSMB7	7.429	391
ENSG00000075415	SLC25A3	7.4262	392
ENSG00000100345	MYH9	7.4231	393
ENSG00000127022	CANX	7.4208	394
ENSG00000127884	ECHS1	7.4144	395
ENSG00000276043	UHRF1	7.4059	396
ENSG00000168268	NT5DC2	7.4058	397
ENSG00000035141	FAM136A	7.4045	398
ENSG00000111716	LDHB	7.4006	399
ENSG00000148773	MKI67	7.3994	400
ENSG00000149187	CELF1	7.3993	401
ENSG00000166164	BRD7	7.3963	402
ENSG00000116288	PARK7	7.3949	403
ENSG00000116455	WDR77	7.3918	404
ENSG00000108848	LUC7L3	7.391	405
ENSG00000120802	TMPO	7.3899	406
ENSG00000115307	AUP1	7.3887	407
ENSG00000100650	SRSF5	7.3874	408
ENSG00000169895	SYAP1	7.387	409
ENSG00000128524	ATP6V1F	7.3832	410
ENSG00000058262	SEC61A1	7.382	411
ENSG00000113810	SMC4	7.3783	412
ENSG00000261236	BOP1	7.3753	413
ENSG00000134086	VHL	7.3751	414
ENSG00000177606	JUN	7.3743	415
ENSG00000169813	HNRNPF	7.3735	416
ENSG00000142507	PSMB6	7.3733	417
ENSG00000130402	ACTN4	7.3721	418
ENSG00000119318	RAD23B	7.3714	419
ENSG00000169727	GPS1	7.3679	420
ENSG00000159352	PSMD4	7.366	421
ENSG00000198952	SMG5	7.3655	422
ENSG00000189091	SF3B3	7.3631	423
ENSG00000073584	SMARCE1	7.3622	424
ENSG00000160679	CHTOP	7.3602	425
ENSG00000147684	NDUFB9	7.3599	426
ENSG00000182199	SHMT2	7.3596	427
ENSG00000155660	PDIA4	7.359	428
ENSG00000115694	STK25	7.3561	429
ENSG00000177885	GRB2	7.352	430
ENSG00000117410	ATP6V0B	7.3459	431
ENSG00000107949	BCCIP	7.3438	432
ENSG00000160633	SAFB	7.3408	433
ENSG00000105401	CDC37	7.3405	434
ENSG00000161011	SQSTM1	7.3379	435
ENSG00000111906	HDDC2	7.3363	436
ENSG00000123144	TRIR	7.3358	437
ENSG00000175792	RUVBL1	7.3324	438
ENSG00000079616	KIF22	7.3309	439
ENSG00000103202	NME4	7.3308	440
ENSG00000143727	ACP1	7.3307	441
ENSG00000189159	JPT1	7.3268	442
ENSG00000130770	ATP5IF1	7.3266	443
ENSG00000143774	GUK1	7.3264	444
ENSG00000134453	RBM17	7.3253	445
ENSG00000196313	POM121	7.3218	446
ENSG00000213024	NUP62	7.3211	447
ENSG00000166851	PLK1	7.3209	448
ENSG00000197157	SND1	7.3153	449
ENSG00000164466	SFXN1	7.3089	450
ENSG00000143742	SRP9	7.3043	451
ENSG00000108828	VAT1	7.3039	452
ENSG00000171793	CTPS1	7.3032	453
ENSG00000147889	CDKN2A	7.3027	454
ENSG00000115875	SRSF7	7.3021	455
ENSG00000100412	ACO2	7.3014	456
ENSG00000105373	NOP53	7.3009	457
ENSG00000108312	UBTF	7.2998	458
ENSG00000104960	PTOV1	7.299	459
ENSG00000004487	KDM1A	7.297	460
ENSG00000176340	COX8A	7.2956	461
ENSG00000071462	BUD23	7.2889	462
ENSG00000100280	AP1B1	7.2888	463
ENSG00000071553	ATP6AP1	7.2887	464
ENSG00000100335	MIEF1	7.2849	465
ENSG00000105568	PPP2R1A	7.2834	466
ENSG00000143319	ISG20L2	7.2819	467
ENSG00000179218	CALR	7.2762	468
ENSG00000100142	POLR2F	7.2759	469
ENSG00000142657	PGD	7.2733	470
ENSG00000132612	VPS4A	7.2723	471
ENSG00000099194	SCD	7.2723	472
ENSG00000126267	COX6B1	7.2655	473
ENSG00000167792	NDUFV1	7.264	474
ENSG00000241685	ARPC1A	7.2639	475
ENSG00000099797	TECR	7.2617	476
