rank	gene_id	symbol	mean_expr	var_log2expr
274	ENSG00000151247	EIF4E	146.548	3.7689
275	ENSG00000250479	CHCHD10	869.183	3.7677
276	ENSG00000142694	EVA1B	14.723	3.7664
277	ENSG00000212747	RTL8B	60.097	3.7648
278	ENSG00000150907	FOXO1	25.991	3.7572
279	ENSG00000136051	WASHC4	20.034	3.7557
280	ENSG00000258366	RTEL1	14.905	3.7463
281	ENSG00000251503	CENPS-CORT	9.186	3.7448
282	ENSG00000104129	DNAJC17	47.028	3.7433
283	ENSG00000149308	NPAT	30.355	3.7417
284	ENSG00000091656	ZFHX4	47.5	3.7394
285	ENSG00000255439		6.77	3.7348
286	ENSG00000174428	GTF2IRD2B	11.582	3.7301
287	ENSG00000125726	CD70	9.172	3.727
288	ENSG00000285991		6.056	3.7161
289	ENSG00000274641	H2BC17	6.692	3.714
290	ENSG00000162520	SYNC	15.579	3.7109
291	ENSG00000128513	POT1	12.825	3.7079
292	ENSG00000220201	ZGLP1	7.838	3.7067
293	ENSG00000138376	BARD1	54.435	3.6937
294	ENSG00000100354	TNRC6B	90.962	3.6894
295	ENSG00000170160	CCDC144A	5.929	3.6884
296	ENSG00000140836	ZFHX3	25.683	3.6862
297	ENSG00000183474	GTF2H2C	47.182	3.6811
298	ENSG00000189227	C15orf61	60.62	3.6775
299	ENSG00000160124	MIX23	86.357	3.6765
300	ENSG00000187186		26.012	3.6751
301	ENSG00000120885	CLU	25.008	3.6727
302	ENSG00000173230	GOLGB1	122.701	3.6714
303	ENSG00000176396	EID2	51.704	3.6667
304	ENSG00000162409	PRKAA2	52.08	3.6663
305	ENSG00000008282	SYPL1	52.929	3.6652
306	ENSG00000177853	ZNF518A	46.104	3.6609
307	ENSG00000187608	ISG15	23.279	3.6545
308	ENSG00000174483	BBS1	11.919	3.6541
309	ENSG00000134852	CLOCK	20.317	3.6514
310	ENSG00000215126	ZNG1F	13.365	3.6478
311	ENSG00000188603	CLN3	30.953	3.6456
312	ENSG00000130748	TMEM160	202.317	3.6446
313	ENSG00000129315	CCNT1	42.064	3.6442
314	ENSG00000130643	CALY	5.487	3.6411
315	ENSG00000181722	ZBTB20	7.282	3.6346
316	ENSG00000184702	SEPTIN5	6.207	3.6335
317	ENSG00000187240	DYNC2H1	64.83	3.626
318	ENSG00000111581	NUP107	77.744	3.6222
319	ENSG00000177707	NECTIN3	27.474	3.6216
320	ENSG00000125148	MT2A	86.935	3.611
321	ENSG00000048392	RRM2B	14.153	3.6098
322	ENSG00000156052	GNAQ	41.801	3.6067
323	ENSG00000129007	CALML4	13.251	3.5956
324	ENSG00000183155	RABIF	32.041	3.5949
325	ENSG00000136197	C7orf25	7.068	3.5948
326	ENSG00000162444	RBP7	6.358	3.5932
327	ENSG00000246705	H2AJ	41.635	3.5931
328	ENSG00000188994	ZNF292	44.04	3.5813
329	ENSG00000278558	TMEM191B	7.675	3.5785
330	ENSG00000273154		21.643	3.5731
331	ENSG00000203724	C1orf53	28.482	3.5723
332	ENSG00000110344	UBE4A	28.156	3.568
333	ENSG00000253352	TUG1	80.831	3.5665
334	ENSG00000234289	H2BC12L	7.683	3.563
335	ENSG00000130175	PRKCSH	231.479	3.5591
336	ENSG00000121621	KIF18A	13.52	3.5575
337	ENSG00000234719	NPIPB2	7.782	3.5547
338	ENSG00000277957	SENP3-EIF4A1	6.499	3.552
339	ENSG00000273748		5.117	3.5512
340	ENSG00000066279	ASPM	143.141	3.5413
341	ENSG00000161847	RAVER1	40.643	3.5403
342	ENSG00000124140	SLC12A5	12.223	3.5399
343	ENSG00000286522	H3C2	7.161	3.538
344	ENSG00000131477	RAMP2	10.295	3.5356
345	ENSG00000188290	HES4	241.304	3.5336
346	ENSG00000286192		7.974	3.5307
347	ENSG00000196950	SLC39A10	54.609	3.5281
348	ENSG00000107789	MINPP1	19.73	3.5178
349	ENSG00000174307	PHLDA3	35.312	3.5165
350	ENSG00000092758	COL9A3	12.221	3.5146
351	ENSG00000261408	TEN1-CDK3	15.322	3.5115
352	ENSG00000185885	IFITM1	12.651	3.5084
353	ENSG00000286219	NOTCH2NLC	16.071	3.5075
354	ENSG00000115368	WDR75	47.179	3.5041
355	ENSG00000221869	CEBPD	11.437	3.5019
356	ENSG00000196747	H2AC13	9.283	3.4993
357	ENSG00000152192	POU4F1	52.607	3.4957
358	ENSG00000089048	ESF1	60.672	3.4944
359	ENSG00000169203	NPIPB12	9.234	3.4932
360	ENSG00000137055	PLAA	32.385	3.4835
361	ENSG00000276966	H4C5	7.717	3.4793
362	ENSG00000204839	MROH6	9.116	3.4716
363	ENSG00000155545	MIER3	12.78	3.4672
364	ENSG00000138658	ZGRF1	12.774	3.4667
365	ENSG00000174939	ASPHD1	6.98	3.4649
366	ENSG00000132846	ZBED3	26.708	3.4635
367	ENSG00000235034	C19orf81	25.772	3.4622
368	ENSG00000169515	CCDC8	54.974	3.4615
369	ENSG00000270882	H4C14	13.247	3.4544
370	ENSG00000065534	MYLK	7.976	3.4527
371	ENSG00000166575	TMEM135	13.121	3.4525
372	ENSG00000244355	LY6G6D	6.992	3.4489
373	ENSG00000276345		5.744	3.4463
374	ENSG00000153140	CETN3	30.747	3.4411
375	ENSG00000164414	SLC35A1	12.213	3.4409
376	ENSG00000251349	MSANTD3-TMEFF1	6.795	3.4402
377	ENSG00000161914	ZNF653	8.947	3.4401
378	ENSG00000176046	NUPR1	11.644	3.4291
379	ENSG00000135315	CEP162	14.308	3.427
380	ENSG00000116977	LGALS8	5.16	3.4225
381	ENSG00000203618	GP1BB	15.897	3.4198
382	ENSG00000131094	C1QL1	11.707	3.4188
383	ENSG00000158373	H2BC5	21.401	3.4177
384	ENSG00000197275	RAD54B	14.444	3.4167
385	ENSG00000286231		5.216	3.4161
386	ENSG00000164241	C5orf63	9.889	3.4146
387	ENSG00000162694	EXTL2	18.429	3.4097
388	ENSG00000256646		12.267	3.4072
389	ENSG00000146648	EGFR	10.497	3.4057
390	ENSG00000205220	PSMB10	73.469	3.4006
391	ENSG00000257949	TEN1	22.079	3.3994
392	ENSG00000135116	HRK	25.201	3.3978
393	ENSG00000135045	C9orf40	53.916	3.3919
394	ENSG00000203896	LIME1	8.497	3.3918
395	ENSG00000182220	ATP6AP2	63.823	3.3909
396	ENSG00000145781	COMMD10	12.828	3.3866
397	ENSG00000143248	RGS5	9.041	3.3841
398	ENSG00000161204	ABCF3	29.368	3.384
399	ENSG00000139618	BRCA2	42.224	3.3825
400	ENSG00000134352	IL6ST	18.117	3.3797
401	ENSG00000108774	RAB5C	196.454	3.3792
402	ENSG00000113594	LIFR	9.558	3.3772
403	ENSG00000142892	PIGK	45.727	3.3749
404	ENSG00000171823	FBXL14	6.513	3.3747
405	ENSG00000286190		9.539	3.3714
406	ENSG00000180096	SEPTIN1	8.46	3.3654
407	ENSG00000010404	IDS	45.298	3.362
408	ENSG00000137955	RABGGTB	114.626	3.3609
409	ENSG00000133863	TEX15	14.945	3.3554
410	ENSG00000147421	HMBOX1	21.721	3.3547
411	ENSG00000116406	EDEM3	21.693	3.3538
412	ENSG00000102780	DGKH	26.093	3.3532
413	ENSG00000160113	NR2F6	155.209	3.3529
414	ENSG00000150347	ARID5B	18.957	3.3471
415	ENSG00000101745	ANKRD12	45.08	3.3423
416	ENSG00000270276	H4C15	20.43	3.3357
417	ENSG00000115464	USP34	64.694	3.3315
418	ENSG00000272410		5.463	3.3233
419	ENSG00000171928	TVP23B	20.285	3.3209
420	ENSG00000116791	CRYZ	24.366	3.3203
421	ENSG00000138182	KIF20B	75.49	3.3198
422	ENSG00000146409	SLC18B1	29.227	3.3196
423	ENSG00000081019	RSBN1	58.327	3.3191
424	ENSG00000099364	FBXL19	54.504	3.3186
425	ENSG00000270757	HSPE1-MOB4	4.64	3.3149
426	ENSG00000179387	ELMOD2	21.162	3.3139
427	ENSG00000286264		5.735	3.3101
428	ENSG00000257390		5.331	3.3081
429	ENSG00000168216	LMBRD1	15.857	3.3072
430	ENSG00000186132	C2orf76	16.421	3.3056
431	ENSG00000164219	PGGT1B	32.391	3.3025
432	ENSG00000203883	SOX18	6.106	3.3025
433	ENSG00000173917	HOXB2	19.71	3.3023
434	ENSG00000135211	TMEM60	23.394	3.3011
435	ENSG00000284874		8.196	3.301
