level	set	condition	well	in_benchmark	unit	SMN2_ex6>7	SMN2_ex7>8	SMN2_ex6>8	SMN1_ex6>7	SMN1_ex7>8	SMN1_ex6>8	ambiguous_ex6>7	ambiguous_ex7>8	ambiguous_ex6>8	skip_all_ex6>8	psi_SMN2	psi_SMN1	psi_pooled
well	bobseq_pe_native	CHX dose 1ug/mL	CHX_dose_1ug_mL-1	yes	dedup	8	7	0	13	15	0	1	1	16	16	0.3333	0.5676	0.6596
well	bobseq_pe_native	CHX dose 1ug/mL	CHX_dose_1ug_mL-2	yes	dedup	11	10	1	27	32	0	3	6	21	22	0.3714	0.6207	0.7215
well	bobseq_pe_native	CHX dose 1ug/mL	CHX_dose_1ug_mL-3	yes	dedup	2	3	0	17	19	0	0	5	10	10	0.2857	0.697	0.7619
well	bobseq_pe_native	CHX dose 50ug/mL	CHX_dose_50ug_mL-1	yes	dedup	4	5	1	15	12	0	4	4	11	12	0.3684	0.5862	0.7273
well	bobseq_pe_native	CHX dose 50ug/mL	CHX_dose_50ug_mL-2	yes	dedup	7	8	1	20	25	0	0	6	16	17	0.3462	0.6531	0.7344
well	bobseq_pe_native	CHX dose 50ug/mL	CHX_dose_50ug_mL-3	yes	dedup	5	7	1	19	25	0	1	1	14	15	0.375	0.6429	0.717
well	bobseq_pe_native	Hek control	Hek_control_1	yes	dedup	2	2	0	13	15	0	1	6	6	6	0.25	0.75	0.8125
well	bobseq_pe_native	Hek control	Hek_control_2	no (defective TSO oligo: skewed UMI; excluded from benchmark and splicing, Bryan 2026-09-10)	dedup	4	6	1	15	23	0	1	1	7	8	0.5	0.7576	0.814
well	bobseq_pe_native	Hek control	Hek_control_3	yes	dedup	3	5	0	6	8	0	0	3	5	5	0.5	0.6429	0.7727
well	bobseq_pe_native	Ris dose 25mM	Ris_dose_25mM-1	yes	dedup	9	8	0	8	11	0	0	1	1	1	0.9091	0.9286	0.96
well	bobseq_pe_native	Ris dose 25mM	Ris_dose_25mM-2	yes	dedup	1	1	1	4	3	0	0	0	1	2	0.3333	0.7143	0.75
well	bobseq_pe_native	Ris dose 25mM	Ris_dose_25mM-3	yes	dedup	10	5	0	8	12	0	0	3	3	3	0.7692	0.8333	0.9032
