nt_from_polyA_site	genes_contributing	DRUG-seq_mean_over_genes_smoothed25	prime-seq_mean_over_genes_smoothed25	BOBseq_mean_over_genes_smoothed25	DRUG-seq_mean_over_genes_raw	prime-seq_mean_over_genes_raw	BOBseq_mean_over_genes_raw
169	2065	4.5003	2.7534	1.3045	4.4733	2.7423	1.3014
170	2065	4.4577	2.7625	1.3138	4.4258	2.7512	1.3149
171	2065	4.4169	2.7714	1.3232	4.3984	2.7659	1.3253
172	2065	4.3769	2.7804	1.3327	4.3474	2.7731	1.3345
173	2065	4.3362	2.7893	1.3419	4.3185	2.7860	1.3475
174	2065	4.2960	2.7981	1.3507	4.2842	2.8157	1.3546
175	2065	4.2567	2.8062	1.3595	4.2330	2.8060	1.3589
176	2065	4.2178	2.8157	1.3682	4.1977	2.8148	1.3700
177	2065	4.1800	2.8248	1.3770	4.1585	2.8249	1.3854
178	2065	4.1417	2.8333	1.3860	4.1261	2.8307	1.4019
179	2065	4.1040	2.8427	1.3944	4.1079	2.8397	1.4104
180	2065	4.0677	2.8514	1.4025	4.0660	2.8423	1.4219
181	2065	4.0324	2.8603	1.4109	4.0307	2.8506	1.4211
182	2065	3.9981	2.8697	1.4190	3.9960	2.8604	1.4270
183	2065	3.9638	2.8791	1.4265	3.9592	2.8720	1.4368
184	2065	3.9300	2.8880	1.4339	3.9122	2.8855	1.4446
185	2065	3.8972	2.8969	1.4411	3.8708	2.8983	1.4446
186	2065	3.8645	2.9052	1.4481	3.8519	2.9096	1.4449
187	2065	3.8321	2.9127	1.4551	3.8200	2.9180	1.4511
188	2065	3.8003	2.9206	1.4626	3.7948	2.9493	1.4598
189	2065	3.7693	2.9285	1.4699	3.7563	2.9408	1.4685
190	2065	3.7386	2.9363	1.4768	3.7099	2.9335	1.4817
191	2065	3.7084	2.9441	1.4828	3.6871	2.9490	1.4801
192	2065	3.6774	2.9517	1.4884	3.6486	2.9703	1.4872
193	2065	3.6470	2.9591	1.4946	3.6358	2.9780	1.4976
194	2065	3.6167	2.9665	1.5009	3.6161	2.9775	1.5039
195	2065	3.5869	2.9739	1.5070	3.5688	2.9849	1.5032
196	2065	3.5577	2.9807	1.5132	3.5526	2.9894	1.5106
197	2065	3.5293	2.9869	1.5191	3.5264	2.9961	1.5133
198	2065	3.5015	2.9929	1.5253	3.5024	2.9922	1.5244
199	2065	3.4733	2.9989	1.5314	3.4742	3.0035	1.5299
200	2065	3.4454	3.0044	1.5372	3.4378	3.0029	1.5461
201	2065	3.4181	3.0091	1.5427	3.4234	3.0140	1.5521
202	2065	3.3916	3.0145	1.5478	3.3902	3.0195	1.5576
203	2065	3.3664	3.0207	1.5521	3.3706	3.0252	1.5516
204	2065	3.3408	3.0264	1.5562	3.3332	3.0307	1.5518
205	2065	3.3160	3.0308	1.5598	3.3056	3.0275	1.5746
206	2065	3.2909	3.0344	1.5631	3.2729	3.0350	1.5794
207	2065	3.2665	3.0380	1.5657	3.2509	3.0452	1.5799
208	2065	3.2442	3.0410	1.5685	3.2294	3.0419	1.5929
209	2065	3.2213	3.0435	1.5709	3.2021	3.0393	1.5922
210	2065	3.1981	3.0453	1.5732	3.1752	3.0488	1.5984
211	2065	3.1750	3.0466	1.5744	3.1475	3.0601	1.5982
212	2065	3.1511	3.0462	1.5761	3.1241	3.0549	1.5961
213	2065	3.1279	3.0465	1.5768	3.1110	3.0682	1.5969
214	2065	3.1046	3.0463	1.5775	3.0938	3.0753	1.5951
215	2065	3.0813	3.0462	1.5779	3.0790	3.0891	1.5885
216	2065	3.0576	3.0473	1.5782	3.0479	3.0902	1.5840
217	2065	3.0340	3.0485	1.5784	3.0288	3.0810	1.5774
218	2065	3.0114	3.0511	1.5778	3.0087	3.0687	1.5786
219	2065	2.9891	3.0536	1.5772	3.0063	3.0665	1.5710
220	2065	2.9667	3.0552	1.5761	3.0111	3.0605	1.5729
221	2065	2.9437	3.0572	1.5745	2.9789	3.0514	1.5693
222	2065	2.9214	3.0589	1.5726	2.9480	3.0397	1.5705
223	2065	2.8996	3.0608	1.5703	2.9232	3.0254	1.5561
224	2065	2.8776	3.0621	1.5683	2.8768	2.9952	1.5710
225	2065	2.8557	3.0639	1.5662	2.8595	3.0084	1.5642
226	2065	2.8337	3.0648	1.5639	2.8394	3.0098	1.5693
227	2065	2.8100	3.0656	1.5616	2.8090	3.0173	1.5678
228	2065	2.7861	3.0665	1.5592	2.7782	3.0514	1.5601
229	2065	2.7622	3.0681	1.5568	2.7431	3.0607	1.5549
230	2065	2.7384	3.0692	1.5550	2.7404	3.0926	1.5613
231	2065	2.7141	3.0705	1.5533	2.7146	3.0976	1.5640
232	2065	2.6886	3.0721	1.5516	2.6915	3.0870	1.5528
233	2065	2.6618	3.0735	1.5499	2.6540	3.0916	1.5526
234	2065	2.6357	3.0750	1.5484	2.6460	3.0814	1.5443
235	2065	2.6097	3.0770	1.5469	2.6291	3.0954	1.5394
236	2065	2.5835	3.0800	1.5457	2.5972	3.0935	1.5506
237	2065	2.5583	3.0842	1.5442	2.5781	3.0992	1.5424
238	2065	2.5329	3.0883	1.5426	2.5603	3.0918	1.5396
239	2065	2.5080	3.0920	1.5403	2.5014	3.0954	1.5380
240	2065	2.4829	3.0957	1.5377	2.4807	3.1101	1.5268
241	2065	2.4578	3.0978	1.5352	2.4500	3.1310	1.5257
242	2065	2.4337	3.0999	1.5329	2.4337	3.1075	1.5321
243	2065	2.4091	3.1014	1.5297	2.4010	3.1013	1.5363
244	2065	2.3850	3.1024	1.5265	2.3702	3.1065	1.5277
245	2065	2.3613	3.1044	1.5237	2.3413	3.0972	1.5302
246	2065	2.3383	3.1056	1.5205	2.3256	3.0876	1.5333
247	2065	2.3150	3.1076	1.5174	2.2969	3.0907	1.5310
248	2065	2.2919	3.1086	1.5143	2.2693	3.0989	1.5259
249	2065	2.2692	3.1088	1.5108	2.2480	3.1010	1.5344
250	2065	2.2463	3.1088	1.5075	2.2238	3.1103	1.5247
251	2065	2.2231	3.1092	1.5047	2.2157	3.1033	1.5125
252	2065	2.2003	3.1098	1.5019	2.1817	3.1084	1.5007
253	2065	2.1775	3.1093	1.5001	2.1522	3.1050	1.5000
254	2065	2.1552	3.1081	1.4980	2.1407	3.1130	1.4968
255	2065	2.1324	3.1076	1.4957	2.1235	3.1295	1.4812
256	2065	2.1103	3.1082	1.4935	2.1131	3.1228	1.4837
257	2065	2.0883	3.1091	1.4917	2.0993	3.1388	1.4830
258	2065	2.0670	3.1103	1.4899	2.0792	3.1200	1.4715
259	2065	2.0455	3.1120	1.4881	2.0639	3.1318	1.4670
260	2065	2.0246	3.1141	1.4862	2.0514	3.1196	1.4624
261	2065	2.0039	3.1163	1.4846	2.0286	3.0989	1.4630
262	2065	1.9833	3.1189	1.4819	2.0067	3.0995	1.4605
263	2065	1.9632	3.1210	1.4796	1.9797	3.1023	1.4687
264	2065	1.9427	3.1229	1.4779	1.9314	3.1094	1.4690
265	2065	1.9230	3.1240	1.4765	1.9115	3.0989	1.4800
266	2065	1.9043	3.1244	1.4752	1.8920	3.1004	1.4745
267	2065	1.8855	3.1244	1.4740	1.8634	3.0959	1.4737
268	2065	1.8658	3.1236	1.4729	1.8495	3.1161	1.4826
269	2065	1.8459	3.1231	1.4719	1.8203	3.1285	1.4827
270	2065	1.8261	3.1232	1.4712	1.8073	3.1276	1.4834
271	2065	1.8065	3.1240	1.4709	1.7894	3.1291	1.4893
272	2065	1.7868	3.1239	1.4707	1.7744	3.1446	1.4848
273	2065	1.7672	3.1235	1.4709	1.7500	3.1540	1.4849
274	2065	1.7477	3.1237	1.4709	1.7327	3.1639	1.4657
275	2065	1.7288	3.1235	1.4712	1.7237	3.1640	1.4695
276	2065	1.7108	3.1230	1.4711	1.7021	3.1495	1.4692
277	2065	1.6938	3.1223	1.4709	1.6893	3.1365	1.4642
278	2065	1.6772	3.1215	1.4701	1.6834	3.1163	1.4678
279	2065	1.6620	3.1198	1.4695	1.6716	3.1130	1.4675
280	2065	1.6470	3.1183	1.4689	1.6310	3.1092	1.4533
281	2065	1.6325	3.1164	1.4676	1.6166	3.1110	1.4601
282	2065	1.6187	3.1138	1.4661	1.6031	3.1411	1.4655
283	2065	1.6051	3.1113	1.4647	1.5899	3.1401	1.4628
284	2065	1.5913	3.1088	1.4630	1.5717	3.1276	1.4621
285	2065	1.5781	3.1060	1.4613	1.5606	3.1090	1.4677
286	2065	1.5659	3.1023	1.4594	1.5410	3.1053	1.4619
287	2065	1.5544	3.0976	1.4578	1.5343	3.0938	1.4686
288	2065	1.5428	3.0933	1.4562	1.5290	3.0912	1.4658
289	2065	1.5319	3.0896	1.4557	1.5064	3.0904	1.4657
290	2065	1.5213	3.0866	1.4555	1.4985	3.0791	1.4595
291	2065	1.5106	3.0844	1.4552	1.5103	3.0579	1.4599
292	2065	1.5001	3.0820	1.4548	1.4891	3.0578	1.4571
293	2065	1.4909	3.0793	1.4546	1.4878	3.0700	1.4509
294	2065	1.4815	3.0761	1.4539	1.4733	3.0627	1.4461
295	2065	1.4724	3.0718	1.4530	1.4678	3.0650	1.4465
296	2065	1.4630	3.0679	1.4524	1.4451	3.0677	1.4491
297	2065	1.4538	3.0640	1.4517	1.4454	3.0742	1.4423
298	2065	1.4445	3.0606	1.4506	1.4439	3.0607	1.4357
299	2065	1.4357	3.0574	1.4496	1.4451	3.0459	1.4261
300	2065	1.4268	3.0545	1.4482	1.4348	3.0584	1.4298
301	2065	1.4179	3.0514	1.4463	1.4279	3.0554	1.4562
302	2065	1.4098	3.0480	1.4445	1.4248	3.0610	1.4588
303	2065	1.4016	3.0448	1.4425	1.4172	3.0618	1.4603
304	2065	1.3927	3.0419	1.4404	1.4071	3.0526	1.4593
305	2065	1.3843	3.0387	1.4384	1.4017	3.0418	1.4469
306	2065	1.3755	3.0343	1.4363	1.3823	3.0329	1.4440
307	2065	1.3671	3.0299	1.4343	1.3747	3.0324	1.4414
308	2065	1.3584	3.0254	1.4321	1.3562	3.0421	1.4472
309	2065	1.3503	3.0201	1.4298	1.3397	3.0311	1.4462
310	2065	1.3418	3.0137	1.4276	1.3298	3.0234	1.4389
311	2065	1.3331	3.0075	1.4255	1.3205	3.0255	1.4384
312	2065	1.3241	3.0012	1.4237	1.3110	3.0206	1.4319
313	2065	1.3149	2.9941	1.4218	1.3074	3.0146	1.4197
