metric	column	sample_index_in_column	value
duplicate rate (%) at 250k filtered reads	CADM1 1nM	2	9.6308
duplicate rate (%) at 250k filtered reads	CADM1 1nM	3	10.402
duplicate rate (%) at 250k filtered reads	CADM1 100nM	1	9.982
duplicate rate (%) at 250k filtered reads	CADM1 100nM	2	10.3124
duplicate rate (%) at 250k filtered reads	CADM1 100nM	3	10.002
duplicate rate (%) at 250k filtered reads	CHX dose 1ug mL	1	14.0432
duplicate rate (%) at 250k filtered reads	CHX dose 1ug mL	2	10.894
duplicate rate (%) at 250k filtered reads	CHX dose 1ug mL	3	13.0324
duplicate rate (%) at 250k filtered reads	CHX dose 50ug mL	1	13.5936
duplicate rate (%) at 250k filtered reads	CHX dose 50ug mL	2	12.8552
duplicate rate (%) at 250k filtered reads	CHX dose 50ug mL	3	11.4816
duplicate rate (%) at 250k filtered reads	Ris dose 25mM	1	13.1732
duplicate rate (%) at 250k filtered reads	Ris dose 25mM	2	15.5948
duplicate rate (%) at 250k filtered reads	Ris dose 25mM	3	11.4096
duplicate rate (%) at 250k filtered reads	Ris dose 500mM	1	60.5896
duplicate rate (%) at 250k filtered reads	Ris dose 500mM	2	54.2504
duplicate rate (%) at 250k filtered reads	Ris dose 500mM	3	67.798
duplicate rate (%) at 250k filtered reads	RAW 264.7	1	11.1872
duplicate rate (%) at 250k filtered reads	RAW 264.7	2	8.4148
duplicate rate (%) at 250k filtered reads	RAW 264.7	3	12.358
genes at 250k filtered reads (no ribosomal-protein genes)	DRUG-seq	1	7199
genes at 250k filtered reads (no ribosomal-protein genes)	DRUG-seq	2	7274
genes at 250k filtered reads (no ribosomal-protein genes)	DRUG-seq	3	
genes at 250k filtered reads (no ribosomal-protein genes)	DRUG-seq	4	7126
genes at 250k filtered reads (no ribosomal-protein genes)	DRUG-seq	5	7124
genes at 250k filtered reads (no ribosomal-protein genes)	DRUG-seq	6	
genes at 250k filtered reads (no ribosomal-protein genes)	DRUG-seq	7	7131
genes at 250k filtered reads (no ribosomal-protein genes)	DRUG-seq	8	6969
genes at 250k filtered reads (no ribosomal-protein genes)	DRUG-seq	9	6847
genes at 250k filtered reads (no ribosomal-protein genes)	DRUG-seq	10	7157
genes at 250k filtered reads (no ribosomal-protein genes)	DRUG-seq	11	7077
genes at 250k filtered reads (no ribosomal-protein genes)	DRUG-seq	12	
genes at 250k filtered reads (no ribosomal-protein genes)	DRUG-seq	13	7133
genes at 250k filtered reads (no ribosomal-protein genes)	DRUG-seq	14	7264
genes at 250k filtered reads (no ribosomal-protein genes)	DRUG-seq	15	6992
genes at 250k filtered reads (no ribosomal-protein genes)	DRUG-seq	16	7189
genes at 250k filtered reads (no ribosomal-protein genes)	DRUG-seq	17	7023
genes at 250k filtered reads (no ribosomal-protein genes)	DRUG-seq	18	6915
genes at 250k filtered reads (no ribosomal-protein genes)	DRUG-seq	19	7241
genes at 250k filtered reads (no ribosomal-protein genes)	DRUG-seq	20	7258
genes at 250k filtered reads (no ribosomal-protein genes)	DRUG-seq	21	7107
genes at 250k filtered reads (no ribosomal-protein genes)	DRUG-seq	22	7401
genes at 250k filtered reads (no ribosomal-protein genes)	DRUG-seq	23	7374
